FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
8 3.75 0 0.07 0.3 0.021232191649136405
9 3.75 0 0.07 0.3 0.10411873180668346
10 3.75 0 0.07 0.3 0.16695016531829235
11 3.75 0 0.07 0.3 0.05694477637330633
12 3.75 0 0.07 0.3 0.12085268212698907
13 3.75 0 0.07 0.3 0.1445632746318924
1 3.75 0 0.09 0.3 0.7582809305255925
2 3.75 0 0.09 0.3 0.5550912138386804
3 3.75 0 0.09 0.3 1.0430962967519382
4 3.75 0 0.09 0.3 1.6110762387637845
5 3.75 0 0.09 0.3 0.584906758636007
6 3.75 0 0.09 0.3 0.30453776759063134
7 3.75 0 0.09 0.3 0.4001694459387584
8 3.75 0 0.09 0.3 0.018574885788273578
9 3.75 0 0.09 0.3 0.09218615146818802
10 3.75 0 0.09 0.3 0.15508417050641973
11 3.75 0 0.09 0.3 0.05125309879979299
12 3.75 0 0.09 0.3 0.10916699351248788
13 3.75 0 0.09 0.3 0.12799552684426224
1 5 0 0.03 0.3 2.4948157422778983
2 5 0 0.03 0.3 1.3206991206180836
3 5 0 0.03 0.3 2.4995744577964865
4 5 0 0.03 0.3 3.1244851012461523
5 5 0 0.03 0.3 1.1029336302401835
6 5 0 0.03 0.3 0.7344590199298632
7 5 0 0.03 0.3 0.8168466108258488
8 5 0 0.03 0.3 0.046263153695185265
9 5 0 0.03 0.3 0.24607463587030892
10 5 0 0.03 0.3 0.3076469729329037
11 5 0 0.03 0.3 0.10895232463022089
12 5 0 0.03 0.3 0.23947152656618192
13 5 0 0.03 0.3 0.288362259534894
1 5 0 0.05 0.3 1.6614603649165829
2 5 0 0.05 0.3 1.12205955918317
3 5 0 0.05 0.3 2.015629615212815
4 5 0 0.05 0.3 2.7974881089356027
5 5 0 0.05 0.3 1.0014349241506069
6 5 0 0.05 0.3 0.5922597533005134
7 5 0 0.05 0.3 0.7189763533320561
8 5 0 0.05 0.3 0.03235192896492879
9 5 0 0.05 0.3 0.19843190590535625
10 5 0 0.05 0.3 0.27262441836473106
11 5 0 0.05 0.3 0.08808563873656766
12 5 0 0.05 0.3 0.19163552578926324
13 5 0 0.05 0.3 0.23253218499464273
1 5 0 0.07 0.3 1.352662598288667
2 5 0 0.07 0.3 1.0179490101844446
3 5 0 0.07 0.3 1.70703920340712
4 5 0 0.07 0.3 2.5738348802140587
