FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
7 1.25 5 0.09 0.3 0.1019965372364076
8 1.25 5 0.09 0.3 0.0046184955361455145
9 1.25 5 0.09 0.3 0.017639248323417338
10 1.25 5 0.09 0.3 0.038917528982305404
11 1.25 5 0.09 0.3 0.016776714951812835
12 1.25 5 0.09 0.3 0.03695958562276612
13 1.25 5 0.09 0.3 0.04370892983551457
1 1.25 10 0.03 0.3 0.2590250201820371
2 1.25 10 0.03 0.3 0.1387850923141073
3 1.25 10 0.03 0.3 0.4725342511030949
4 1.25 10 0.03 0.3 0.5342407284312504
5 1.25 10 0.03 0.3 0.19115480949312263
6 1.25 10 0.03 0.3 0.13749317560816246
7 1.25 10 0.03 0.3 0.1526426391032115
8 1.25 10 0.03 0.3 0.008256669987443867
9 1.25 10 0.03 0.3 0.03154259765190396
10 1.25 10 0.03 0.3 0.05600427996085407
11 1.25 10 0.03 0.3 0.027769855438791114
12 1.25 10 0.03 0.3 0.06365279563216938
13 1.25 10 0.03 0.3 0.07742317254482613
1 1.25 10 0.05 0.3 0.2153944408993856
2 1.25 10 0.05 0.3 0.11791114044982764
3 1.25 10 0.05 0.3 0.3810464728325988
4 1.25 10 0.05 0.3 0.47832908036573657
5 1.25 10 0.05 0.3 0.17356357345281223
6 1.25 10 0.05 0.3 0.1108729991143287
7 1.25 10 0.05 0.3 0.1343538022572588
8 1.25 10 0.05 0.3 0.006735843573157742
9 1.25 10 0.05 0.3 0.025435607156894822
10 1.25 10 0.05 0.3 0.04962874851231937
11 1.25 10 0.05 0.3 0.022451337887925735
12 1.25 10 0.05 0.3 0.05093773415920552
13 1.25 10 0.05 0.3 0.06243320297914058
1 1.25 10 0.07 0.3 0.19200906213141195
2 1.25 10 0.07 0.3 0.10697072871782139
3 1.25 10 0.07 0.3 0.3227087271073733
4 1.25 10 0.07 0.3 0.44008768699806017
5 1.25 10 0.07 0.3 0.16051604006393155
6 1.25 10 0.07 0.3 0.093898479491977
7 1.25 10 0.07 0.3 0.12007126847587107
8 1.25 10 0.07 0.3 0.0056912872332223405
9 1.25 10 0.07 0.3 0.02154144702557261
10 1.25 10 0.07 0.3 0.04514768037021838
11 1.25 10 0.07 0.3 0.01991694528307068
12 1.25 10 0.07 0.3 0.04375419659991185
13 1.25 10 0.07 0.3 0.052874756490623696
1 1.25 10 0.09 0.3 0.15178867075329608
2 1.25 10 0.09 0.3 0.09772158470108876
3 1.25 10 0.09 0.3 0.2857245289201345
4 1.25 10 0.09 0.3 0.41069589606727397
5 1.25 10 0.09 0.3 0.15026497769262262
6 1.25 10 0.09 0.3 0.08313719638029911
7 1.25 10 0.09 0.3 0.10895315385296132
8 1.25 10 0.09 0.3 0.00497899661477784
9 1.25 10 0.09 0.3 0.019072678507364545
10 1.25 10 0.09 0.3 0.04193880579366595
11 1.25 10 0.09 0.3 0.01792623010214874
12 1.25 10 0.09 0.3 0.039523443024190814
13 1.25 10 0.09 0.3 0.04681501806743392
1 1.25 15 0.03 0.3 0.30884219454994755
2 1.25 15 0.03 0.3 0.15928731403870966
3 1.25 15 0.03 0.3 0.5219802087325545
4 1.25 15 0.03 0.3 0.598608732698058
5 1.25 15 0.03 0.3 0.21334889452963965
6 1.25 15 0.03 0.3 0.15301014775581898
7 1.25 15 0.03 0.3 0.16956991428015708
8 1.25 15 0.03 0.3 0.009294969353097177
9 1.25 15 0.03 0.3 0.03565992349173207
10 1.25 15 0.03 0.3 0.06301154590241836
11 1.25 15 0.03 0.3 0.030862658570235863
12 1.25 15 0.03 0.3 0.07082428738686646
13 1.25 15 0.03 0.3 0.0863449724910582
1 1.25 15 0.05 0.3 0.256820332547313
2 1.25 15 0.05 0.3 0.1353297284623772
3 1.25 15 0.05 0.3 0.4209191544563169
4 1.25 15 0.05 0.3 0.5359605686581573
5 1.25 15 0.05 0.3 0.19371522288641999
